coordenadas,Record Count
"25.75285962, -100.4208702",1
"25.7416793, -100.3624898",1
"25.67928263, -100.3187436",1
"25.68557635, -100.3285454",1
"25.69381246, -100.3467313",1
"25.68705702, -100.365087",1
"25.72749834, -100.3426146",1
"25.6848262, -100.3132459",1
"25.65753, -100.303858",1
"25.72389326, -100.3281106",1
"25.76708106, -100.3996758",1
"25.68595825, -100.3236635",1
"25.69695348, -100.3521643",1
"25.72281103, -100.3418596",1
"25.6414887, -100.3150694",1
"25.73418678, -100.3375783",1
"25.69267112, -100.2995165",1
"25.68616584, -100.3414525",1
"25.72250503, -100.3620949",1
"25.63630034, -100.3088323",1
"25.76753118, -100.3666642",1
"25.66350541, -100.3211152",1
"25.75052962, -100.3638494",1
"25.69132603, -100.3548766",1
"25.68774473, -100.2618731",1
"25.753216, -100.3877597",1
"25.73030182, -100.3963654",1
"25.6844418, -100.2730591",1
"25.68288525, -100.3037354",1
"25.649057, -100.30675",1
"25.7951299, -100.386412",1
"25.60342262, -100.2601565",1
"25.6990588, -100.3168046",1
"25.68372663, -100.2894616",1
"25.64356622, -100.2970661",1
"25.6952802, -100.3612318",1
"25.68360102, -100.3103703",1
"25.67444971, -100.3578627",1
"25.74327557, -100.3563552",1
"25.6825445, -100.3241046",1
"25.6327019, -100.2884786",1
"25.68982275, -100.3301016",1
"25.67051638, -100.3270594",1
"25.672819, -100.2867728",1
"25.68666217, -100.3303338",1
"25.62110566, -100.2715639",1
"25.66382, -100.31199",1
"25.66815634, -100.3195692",1
"25.63549706, -100.2960873",1
"25.7463192, -100.3881216",1
"25.70462057, -100.3265581",1
"25.6493907, -100.3091384",1
"25.677197, -100.291689",1
"25.72056595, -100.3870783",1
"25.67836144, -100.3335601",1
"25.7128973, -100.3561657",1
"25.672038, -100.362263",1
"25.6786965, -100.3052479",1
"25.66484612, -100.3290723",1
"25.67438472, -100.2981712",1
"25.6956003, -100.3290259",1
"25.74637518, -100.3223285",1
"25.61406726, -100.2741432",1
"25.68163312, -100.3000465",1
"25.74391576, -100.4205644",1
"25.71317418, -100.379526",1
"25.58508372, -100.2566603",1
"25.66184191, -100.3073287",1
"25.77723285, -100.3843765",1
"25.6335906, -100.2894667",1
"25.78546427, -100.4131026",1
"25.719955, -100.371015",1
"25.73971448, -100.4033037",1
"25.66252145, -100.3212311",1
"25.70825583, -100.3583385",1
"25.66528746, -100.3102033",1
"25.66960429, -100.3424579",1
"25.72096331, -100.342505",1
"25.66413457, -100.3516352",1
"25.70888722, -100.3575593",1
"25.69889963, -100.3665653",1
"25.5999446, -100.2650902",1
"25.677236, -100.323857",1
"25.66959074, -100.3010005",1
"25.7309665, -100.3164291",1
"25.67943846, -100.3652346",1
"25.7191752, -100.3574604",1
"25.70219334, -100.3099466",1
"25.67850069, -100.3275738",1
"25.66863483, -100.3154396",1
"25.69261352, -100.3561769",1
"25.68071465, -100.3068808",1
"25.6460393, -100.286945",1
"25.67101349, -100.2873592",1
"25.63824386, -100.272743",1
"25.64563518, -100.2887177",1
"25.6478558, -100.2849323",1
"25.68947175, -100.2883486",1
"25.64085251, -100.2812685",1
"25.68460572, -100.311236",1
"25.60667038, -100.2685651",1
"25.74009543, -100.3714274",1
"25.72132575, -100.3831015",1
"25.66581, -100.345893",1
"25.57862632, -100.2487613",1
"25.74324375, -100.3510269",1
"25.68989075, -100.3167929",1
"25.66764889, -100.3097103",1
"25.550337, -100.224638",1
"25.7626291, -100.3721315",1
"25.76036873, -100.3756711",1
"25.6878179, -100.321654",1
"25.58239298, -100.2438408",1
"25.76330782, -100.4014077",1
"25.72674151, -100.3946801",1
"25.58770255, -100.2583084",1
"25.7013095, -100.3478586",1
"25.73699872, -100.3259339",1
"25.7305657, -100.3819102",1
"25.74280623, -100.3485622",1
"25.70028823, -100.3287139",1
"25.73696186, -100.3377922",1
"25.6547449, -100.2972602",1
"25.63214014, -100.2849564",1
"25.70718909, -100.3679805",1
"25.71798815, -100.3599923",1
"25.66716777, -100.3073891",1
"25.68313862, -100.2776647",1
"25.67018377, -100.3318434",1
"25.58389749, -100.2571207",1
"25.69422345, -100.3513002",1
"25.67446172, -100.2894967",1
"25.71871288, -100.3524111",1
"25.70776208, -100.3402251",1
"25.68646138, -100.319745",1
"25.63552365, -100.3021892",1
"25.7583543, -100.427292",1
"25.679508, -100.296457",1
"25.6845771, -100.3015245",1
"25.6321776, -100.3067055",1
"25.70824202, -100.2686231",1
"25.67435835, -100.3736677",1
"25.7439951, -100.343749",1
"25.68015703, -100.3021485",1
"25.76948986, -100.3688746",1
"25.689031, -100.3106307",1
"25.73097957, -100.3464879",1
"25.67473899, -100.2942136",1
"25.6867574, -100.3758091",1
"25.70490423, -100.3697113",1
"25.66004492, -100.2864484",1
"25.728647, -100.333092",1
"25.66074466, -100.3214766",1
"25.666988, -100.3204702",1
"25.79145717, -100.3795027",1
"25.67068985, -100.308254",1
"25.64466185, -100.2880916",1
"25.675738, -100.3183473",1
"25.66281048, -100.3170062",1
"25.62427855, -100.2867471",1
"25.707, -100.316906",1
"25.6805748, -100.3224495",1
"25.6745412, -100.3232406",1
"25.6961052, -100.380071",1
"25.71947247, -100.34487",1
"25.75577545, -100.3709171",1
"25.637865, -100.286784",1
"25.67234026, -100.330363",1
"25.6827812, -100.2805304",1
"25.76953315, -100.3769466",1
"25.71658783, -100.3913701",1
"25.74102871, -100.3249671",1
"25.7004944, -100.35142",1
"25.630192, -100.299285",1
"25.66578132, -100.3000725",1
"25.66806643, -100.2843653",1
"25.61894323, -100.2818146",1
"25.72406826, -100.3425279",1
"25.6850048, -100.2996315",1
"25.68122148, -100.311687",1
"25.68419008, -100.3074095",1
"25.66667639, -100.3278684",1
"25.57617266, -100.2462098",1
"25.6810683, -100.3457227",1
"25.68655435, -100.2964465",1
"25.6642757, -100.2749023",1
"25.73493172, -100.3678037",1
"25.660389, -100.314432",1
"25.68389143, -100.37303",1
"25.66568617, -100.2972869",1
"25.68683348, -100.3227461",1
"25.66923705, -100.3127176",1
"25.67367125, -100.3301434",1
"25.5323439, -100.2050126",1
"25.68447469, -100.325763",1
"25.58689689, -100.2465588",1
"25.7300603, -100.3721435",1
"25.681569, -100.306769",1
"25.73584988, -100.3785544",1
"25.70307722, -100.3262163",1
"25.62238965, -100.2872839",1
"25.664099, -100.330016",1
"25.7576719, -100.3787895",1
"25.6956678, -100.371799",1
"25.67435563, -100.3135047",1
"25.61071615, -100.2754313",1
"25.70372589, -100.2879084",1
"25.78412789, -100.4070035",1
"25.751822, -100.389488",1
"25.70710672, -100.3678647",1
"25.6509326, -100.2755375",1
"25.73217086, -100.3810939",1
"25.69071711, -100.3167852",1
"25.71804622, -100.355598",1
"25.6949583, -100.3475239",1
"25.7175798, -100.3560276",1
"25.70420212, -100.3702347",1
"25.7250039, -100.3246676",1
"25.70505109, -100.2914242",1
"25.7107087, -100.3822374",1
"25.72443023, -100.3660087",1
"25.66656955, -100.2790123",1
"25.692335, -100.316765",1
"25.70965197, -100.30896",1
"25.68736963, -100.3292342",1
"25.70396958, -100.3650392",1
"25.6209613, -100.2731394",1
"25.68526256, -100.3256621",1
